,Posting Date,Order No.,Item,Quantity,Department,Time,Direct Cost,Overhead Cost,Departement Code,Sales Order,DC/Time,OC/Time,DC/Quantity,OC/Quantity,Labor Costs,Total Cost
0,1/30/2023,POR-11040723,Sofa,15.75,Upholstery,235.0,5405.28,6814.72,PRODUCTION,SSO-12123384,23.0011914893617,28.9988085106383,343.1923809523809,432.68063492063493,14.920634920634921,12220.0
1,1/30/2023,POR-11041006,Sofa,12.28,Upholstery,170.0,3910.2,4929.8,PRODUCTION,SSO-12123384,23.001176470588234,28.998823529411766,318.4201954397394,401.4495114006515,13.843648208469055,8840.0
2,1/30/2023,POR-11041007,Sofa,2.47,Upholstery,35.0,805.04,1014.96,PRODUCTION,SSO-12123384,23.001142857142856,28.998857142857144,325.92712550607285,410.914979757085,14.170040485829958,1820.0
5,1/30/2023,POR-11041806,Cladding ,12.7,Assembly,80.0,2000.0,2960.0,PRODUCTION,SSO-12133564,25.0,37.0,157.48031496062993,233.0708661417323,6.299212598425197,4960.0
8,1/30/2023,POR-11041842,Mirror,1.0,Painting,13.0,325.0,481.0,PRODUCTION,SSO-12133564,25.0,37.0,325.0,481.0,13.0,806.0
9,1/30/2023,POR-11041847,Cladding ,12.0,Assembly,45.0,1125.0,1665.0,PRODUCTION,SSO-12133564,25.0,37.0,93.75,138.75,3.75,2790.0
10,1/30/2023,POR-11041874,Dining Arm chair,2.0,Upholstery,18.0,414.02,521.98,PRODUCTION,SSO-12141628,23.00111111111111,28.99888888888889,207.01,260.99,9.0,936.0
11,1/30/2023,POR-11041874,Dining Arm chair,2.0,Painting,7.17,100.0,148.0,PRODUCTION,SSO-12141628,13.94700139470014,20.641562064156208,50.0,74.0,3.585,248.0
12,1/30/2023,POR-11041890,Night stand,2.0,Assembly,30.0,750.0,1110.0,PRODUCTION,PROD-CARPENTRY-0004,25.0,37.0,375.0,555.0,15.0,1860.0
13,1/30/2023,POR-11041890,Night stand,2.0,machine,8.5,248.02,295.98,PRODUCTION,PROD-CARPENTRY-0002,29.178823529411765,34.821176470588235,124.01,147.99,4.25,544.0
14,1/30/2023,POR-11042472,Arm chair,1.0,Upholstery,14.0,322.02,405.98,PRODUCTION,SSO-12141930,23.00142857142857,28.99857142857143,322.02,405.98,14.0,728.0
15,1/30/2023,POR-11042478,Dining Arm chair,12.0,Upholstery,120.0,2760.14,3479.86,PRODUCTION,SSO-12141930,23.001166666666666,28.998833333333334,230.01166666666666,289.98833333333334,10.0,6240.0
16,1/30/2023,POR-11042496,Sofa,3.4,Upholstery,50.0,230.01,289.99,PRODUCTION,PROD-UPHOLSTERY-0001,4.6002,5.7998,67.65,85.29117647058824,14.705882352941178,520.0
17,1/30/2023,POR-11042496,Sofa,3.4,Painting,11.96,32.61,48.26,PRODUCTION,PROD-PAINTING-0004,2.7265886287625416,4.035117056856187,9.591176470588236,14.194117647058823,3.51764705882353,80.87
